Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Medication_1,Medication_2,Medication_3,Medication_4,combined_text
Systemic Lupus Erythematosus (SLE),Joint pain,Rashes,Fatigue,Fever,Anti-inflammatory drugs (NSAIDs),Corticosteroids,Immunosuppressants,Antimalarials (Hydroxychloroquine),Joint pain Rashes Fatigue Fever Anti-inflammatory drugs (NSAIDs) Corticosteroids Immunosuppressants Antimalarials (Hydroxychloroquine)
Syphilis,Sores at infection site,Rash on palms and soles,Fever,Swollen lymph nodes,Antibiotics (Penicillin),Regular follow-ups,Pain relievers,Fluids,Sores at infection site Rash on palms and soles Fever Swollen lymph nodes Antibiotics (Penicillin) Regular follow-ups Pain relievers Fluids
Scoliosis,Uneven shoulders,Back pain,Uneven hips,Difficulty breathing,Bracing,Physical therapy,Pain relievers,Spinal fusion surgery (in severe cases),Uneven shoulders Back pain Uneven hips Difficulty breathing Bracing Physical therapy Pain relievers Spinal fusion surgery (in severe cases)
Sleep Apnea,Loud snoring,Choking during sleep,Daytime fatigue,Headaches,CPAP machine,Weight loss,Oral appliances,Surgery (if severe),Loud snoring Choking during sleep Daytime fatigue Headaches CPAP machine Weight loss Oral appliances Surgery (if severe)
Tuberculosis (TB),Coughing blood,Fatigue,Fever,Weight loss,"Antibiotics (Isoniazid, Rifampin)",Regular monitoring,Rest,Supportive care,"Coughing blood Fatigue Fever Weight loss Antibiotics (Isoniazid, Rifampin) Regular monitoring Rest Supportive care"
Tetanus,Muscle stiffness,Jaw cramping,Difficulty swallowing,Spasms,Antibiotics,Tetanus immune globulin (TIG),Muscle relaxants,Supportive care,Muscle stiffness Jaw cramping Difficulty swallowing Spasms Antibiotics Tetanus immune globulin (TIG) Muscle relaxants Supportive care
Thalassemia,Anemia,Weakness,Facial bone deformities,Delayed growth,Blood transfusions,Folic acid supplements,Bone marrow transplant (in severe cases),Supportive care,Anemia Weakness Facial bone deformities Delayed growth Blood transfusions Folic acid supplements Bone marrow transplant (in severe cases) Supportive care
Tinnitus,Ringing in the ears,Dizziness,Headaches,Hearing loss,Hearing aids,Sound therapy,Antidepressants,Counseling,Ringing in the ears Dizziness Headaches Hearing loss Hearing aids Sound therapy Antidepressants Counseling
Tonsillitis,Sore throat,Fever,Swollen tonsils,Painful swallowing,Antibiotics (if bacterial),Pain relievers,Fluids,Tonsillectomy (if recurrent),Sore throat Fever Swollen tonsils Painful swallowing Antibiotics (if bacterial) Pain relievers Fluids Tonsillectomy (if recurrent)
Thrombosis,Pain in the affected limb,Swelling,Redness,Warmth,Anticoagulants,Thrombolytics,Compression stockings,Clot removal surgery,Pain in the affected limb Swelling Redness Warmth Anticoagulants Thrombolytics Compression stockings Clot removal surgery
Thyroid Cancer,Lump in neck,Hoarseness,Difficulty swallowing,Persistent cough,Surgery (thyroidectomy),Radioactive iodine treatment,External radiation therapy,Thyroid hormone therapy,Lump in neck Hoarseness Difficulty swallowing Persistent cough Surgery (thyroidectomy) Radioactive iodine treatment External radiation therapy Thyroid hormone therapy
Trigeminal Neuralgia,Facial pain,"Sharp, shooting pain",Triggered by touch or chewing,Intermittent pain,Anticonvulsants,Antidepressants,Pain relievers,Nerve blocks or surgery,"Facial pain Sharp, shooting pain Triggered by touch or chewing Intermittent pain Anticonvulsants Antidepressants Pain relievers Nerve blocks or surgery"
Tourette Syndrome,Tics (motor and vocal),Repetitive movements,Grunting or throat clearing,Uncontrollable movements,Behavioral therapy,Antipsychotics,Alpha-adrenergic agonists,Supportive care,Tics (motor and vocal) Repetitive movements Grunting or throat clearing Uncontrollable movements Behavioral therapy Antipsychotics Alpha-adrenergic agonists Supportive care
Toxoplasmosis,Flu-like symptoms,Swollen lymph nodes,Headache,Muscle aches,Antibiotics (Pyrimethamine),Sulfonamides,Supportive care,Avoidance of raw meat,Flu-like symptoms Swollen lymph nodes Headache Muscle aches Antibiotics (Pyrimethamine) Sulfonamides Supportive care Avoidance of raw meat
Typhoid Fever,Fever,Abdominal pain,Headache,Loss of appetite,Antibiotics (Ciprofloxacin),Fluids,Pain relievers,Rest,Fever Abdominal pain Headache Loss of appetite Antibiotics (Ciprofloxacin) Fluids Pain relievers Rest
Tinea (Ringworm),Itchy rash,Circular red patches,Scaly skin,Hair loss (if on scalp),Topical antifungal creams,Oral antifungal medications,Keep area dry,Good hygiene,Itchy rash Circular red patches Scaly skin Hair loss (if on scalp) Topical antifungal creams Oral antifungal medications Keep area dry Good hygiene
Tendinitis,Pain in affected tendon,Swelling,Restricted movement,Stiffness,Rest,Ice therapy,Pain relievers (NSAIDs),Physical therapy,Pain in affected tendon Swelling Restricted movement Stiffness Rest Ice therapy Pain relievers (NSAIDs) Physical therapy
Ulcerative Colitis,Abdominal pain,Diarrhea with blood,Weight loss,Fatigue,Anti-inflammatory drugs (5-ASA),Immune suppressors,Corticosteroids,Biologics (TNF inhibitors),Abdominal pain Diarrhea with blood Weight loss Fatigue Anti-inflammatory drugs (5-ASA) Immune suppressors Corticosteroids Biologics (TNF inhibitors)
Urticaria (Hives),Itchy welts on skin,Swelling,Redness,Burning sensation,Antihistamines,Corticosteroids,Avoidance of triggers,Cold compresses,Itchy welts on skin Swelling Redness Burning sensation Antihistamines Corticosteroids Avoidance of triggers Cold compresses
Uveitis,Eye pain,Redness,Blurred vision,Light sensitivity,Topical corticosteroids,Oral corticosteroids,Immune suppressants,Supportive care,Eye pain Redness Blurred vision Light sensitivity Topical corticosteroids Oral corticosteroids Immune suppressants Supportive care
Urinary Tract Infection (UTI),Painful urination,Frequent urination,Lower abdominal pain,Cloudy urine,Antibiotics,Pain relievers,Fluids,"Avoiding irritants (caffeine, alcohol)","Painful urination Frequent urination Lower abdominal pain Cloudy urine Antibiotics Pain relievers Fluids Avoiding irritants (caffeine, alcohol)"
Varicella (Chickenpox),Itchy rash,Fever,Fatigue,Headache,Antihistamines,Acetaminophen,Calamine lotion,Supportive care,Itchy rash Fever Fatigue Headache Antihistamines Acetaminophen Calamine lotion Supportive care
Viral Hepatitis,Fatigue,Jaundice,Nausea,Abdominal pain,Antivirals (for Hepatitis B and C),Liver transplant (for severe cases),Supportive care,Avoid alcohol,Fatigue Jaundice Nausea Abdominal pain Antivirals (for Hepatitis B and C) Liver transplant (for severe cases) Supportive care Avoid alcohol
Vascular Dementia,Memory loss,Confusion,Trouble with planning and organizing,Personality changes,Cholinesterase inhibitors,"Management of risk factors (e.g., hypertension)",Supportive care,Occupational therapy,"Memory loss Confusion Trouble with planning and organizing Personality changes Cholinesterase inhibitors Management of risk factors (e.g., hypertension) Supportive care Occupational therapy"
Ventricular Fibrillation,Palpitations,Chest pain,Shortness of breath,Dizziness,Cardioversion,Defibrillation,Medications (Antiarrhythmics),Implantable cardioverter-defibrillator (ICD),Palpitations Chest pain Shortness of breath Dizziness Cardioversion Defibrillation Medications (Antiarrhythmics) Implantable cardioverter-defibrillator (ICD)
Venereal Disease (Sexually Transmitted Infections),Unusual discharge,Painful urination,Genital sores,Abdominal pain,Antibiotics (for bacterial infections),Antivirals (for viral infections),Regular screenings,Supportive care,Unusual discharge Painful urination Genital sores Abdominal pain Antibiotics (for bacterial infections) Antivirals (for viral infections) Regular screenings Supportive care
Vitiligo,White patches on skin,Skin discoloration,Fair hair or eyelashes,Premature graying,Topical corticosteroids,Light therapy,Skin grafts,Depigmentation (in severe cases),White patches on skin Skin discoloration Fair hair or eyelashes Premature graying Topical corticosteroids Light therapy Skin grafts Depigmentation (in severe cases)
Vasculitis,Flu-like symptoms,Fever,Fatigue,Weight loss,Anti-inflammatory medications (Corticosteroids),Immunosuppressants,Plasma exchange,Supportive care,Flu-like symptoms Fever Fatigue Weight loss Anti-inflammatory medications (Corticosteroids) Immunosuppressants Plasma exchange Supportive care
Whooping Cough (Pertussis),Severe cough,Vomiting after coughing,Fatigue,Cold-like symptoms,Antibiotics (Azithromycin),Cough medicine,Supportive care,Fluids,Severe cough Vomiting after coughing Fatigue Cold-like symptoms Antibiotics (Azithromycin) Cough medicine Supportive care Fluids
Worm Infections (Helminthiasis),Abdominal pain,Diarrhea,Fatigue,Weight loss,"Anthelmintics (Albendazole, Mebendazole)",Supportive care,Hygiene education,Avoidance of contaminated food/water,"Abdominal pain Diarrhea Fatigue Weight loss Anthelmintics (Albendazole, Mebendazole) Supportive care Hygiene education Avoidance of contaminated food/water"
Wernicke's Encephalopathy,Confusion,Muscle weakness,Ocular abnormalities,Loss of coordination,Thiamine (Vitamin B1) supplementation,Supportive care,Treat underlying cause,Rehabilitation,Confusion Muscle weakness Ocular abnormalities Loss of coordination Thiamine (Vitamin B1) supplementation Supportive care Treat underlying cause Rehabilitation
Wilson's Disease,Jaundice,Fatigue,Abdominal swelling,Tremors,Chelation therapy (Penicillamine),Zinc supplementation,Liver transplant (in severe cases),Supportive care,Jaundice Fatigue Abdominal swelling Tremors Chelation therapy (Penicillamine) Zinc supplementation Liver transplant (in severe cases) Supportive care
Warts,"Raised, rough growths on skin",Itching or discomfort,Change in appearance of skin,Can be painful,Topical treatments (Salicylic acid),Cryotherapy,Laser treatment,Minor surgical procedures,"Raised, rough growths on skin Itching or discomfort Change in appearance of skin Can be painful Topical treatments (Salicylic acid) Cryotherapy Laser treatment Minor surgical procedures"
Wegener's Granulomatosis,Respiratory issues,Fatigue,Weight loss,Sinus pain,Immunosuppressants,Corticosteroids,Plasma exchange,Regular monitoring,Respiratory issues Fatigue Weight loss Sinus pain Immunosuppressants Corticosteroids Plasma exchange Regular monitoring
Yellow Fever,Fever,Chills,Headache,Muscle pain,Vaccination (preventive),Supportive care,Pain relievers,IV fluids,Fever Chills Headache Muscle pain Vaccination (preventive) Supportive care Pain relievers IV fluids
Yersiniosis,Diarrhea (often bloody),Abdominal pain,Fever,Nausea,Antibiotics (if severe),Supportive care,Hydration,Dietary changes,Diarrhea (often bloody) Abdominal pain Fever Nausea Antibiotics (if severe) Supportive care Hydration Dietary changes
Yaws,Thickened skin lesions,Swollen joints,Bone pain,Stomach pain,Antibiotics (Benzathine penicillin),Supportive care,Skin care,Regular monitoring,Thickened skin lesions Swollen joints Bone pain Stomach pain Antibiotics (Benzathine penicillin) Supportive care Skin care Regular monitoring
Zika Virus Fever,Fever,Rash,Joint pain,Conjunctivitis,"Symptomatic treatment (rest, fluids)",Analgesics,Avoid mosquito bites,Zika Virus Fever,"Fever Rash Joint pain Conjunctivitis Symptomatic treatment (rest, fluids) Analgesics Avoid mosquito bites Zika Virus Fever"
Zollinger-Ellison Syndrome,Severe stomach ulcers,Abdominal pain,Diarrhea,Heartburn,Proton pump inhibitors (PPIs),Antacids,Surgery (if tumors present),Zollinger-Ellison Syndrome,Severe stomach ulcers Abdominal pain Diarrhea Heartburn Proton pump inhibitors (PPIs) Antacids Surgery (if tumors present) Zollinger-Ellison Syndrome
Zoonotic Infections,Flu-like symptoms,Fever,Chills,Diarrhea,Antibiotics (if bacterial),Supportive care,"Prevention (vaccination, avoiding contact)",Zoonotic Infections,"Flu-like symptoms Fever Chills Diarrhea Antibiotics (if bacterial) Supportive care Prevention (vaccination, avoiding contact) Zoonotic Infections"
